organization	experiment	study	study_title	sci_name	accession	pub_date
NCGR	SRX9830668	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413595	2021-01-11 22:51:23
NCGR	SRX9830667	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413596	2021-01-11 22:46:13
NCGR	SRX9830666	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413597	2021-01-11 22:45:40
NCGR	SRX9830665	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413598	2021-01-11 22:53:21
NCGR	SRX9830664	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413599	2021-01-11 22:49:41
NCGR	SRX9830663	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413600	2021-01-11 22:48:15
NCGR	SRX9830662	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413601	2021-01-11 23:15:02
NCGR	SRX9830661	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413602	2021-01-11 22:46:13
NCGR	SRX9830660	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413603	2021-01-11 22:58:34
NCGR	SRX9830659	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413604	2021-01-11 22:54:38
NCGR	SRX9830658	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413605	2021-01-11 23:19:56
NCGR	SRX9830657	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413606	2021-01-11 23:15:02
NCGR	SRX9830656	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413607	2021-01-11 23:19:56
NCGR	SRX9830655	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413608	2021-01-11 22:56:41
NCGR	SRX9830654	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413609	2021-01-11 23:15:02
NCGR	SRX9830653	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413610	2021-01-11 23:15:02
NCGR	SRX9830652	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413611	2021-01-11 23:15:02
NCGR	SRX9830651	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413612	2021-01-11 22:58:34
NCGR	SRX9830650	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413613	2021-01-11 23:19:56
NCGR	SRX9830649	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413614	2021-01-11 22:52:38
NCGR	SRX9830648	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413615	2021-01-11 23:15:02
NCGR	SRX9830647	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413616	2021-01-11 22:56:41
NCGR	SRX9830646	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413617	2021-01-11 23:15:02
NCGR	SRX9830645	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413618	2021-01-11 22:48:15
NCGR	SRX9830644	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413619	2021-01-11 22:51:23
NCGR	SRX9830643	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413620	2021-01-11 22:53:21
NCGR	SRX9830642	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413621	2021-01-11 22:54:38
NCGR	SRX9830641	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413622	2021-01-11 23:36:49
NCGR	SRX9830640	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413623	2021-01-11 23:15:02
NCGR	SRX9830639	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413624	2021-01-11 22:59:21
NCGR	SRX9830638	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413625	2021-01-11 23:24:41
NCGR	SRX9830637	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413626	2021-01-11 23:22:43
NCGR	SRX9830636	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413627	2021-01-11 23:33:48
NCGR	SRX9830635	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413628	2021-01-11 23:22:43
NCGR	SRX9830634	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413629	2021-01-11 23:33:48
NCGR	SRX9830633	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413630	2021-01-11 23:33:48
NCGR	SRX9830632	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413631	2021-01-11 23:19:56
NCGR	SRX9830631	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413632	2021-01-12 00:46:41
NCGR	SRX9830630	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413633	2021-01-12 00:18:27
NCGR	SRX9830629	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413634	2021-01-12 00:19:34
NCGR	SRX9830628	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413635	2021-01-11 23:15:02
NCGR	SRX9830627	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413636	2021-01-11 23:15:02
NCGR	SRX9830626	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413637	2021-01-11 23:43:30
NCGR	SRX9830625	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413638	2021-01-11 23:39:59
NCGR	SRX9830624	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413639	2021-01-11 23:53:42
NCGR	SRX9830623	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413640	2021-01-11 23:19:56
NCGR	SRX9830622	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413641	2021-01-11 23:19:56
NCGR	SRX9830621	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413642	2021-01-11 23:33:48
NCGR	SRX9830620	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413643	2021-01-11 23:19:56
NCGR	SRX9830619	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413644	2021-01-11 23:34:16
NCGR	SRX9830618	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413645	2021-01-11 23:15:02
NCGR	SRX9830617	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413646	2021-01-11 22:46:13
NCGR	SRX9830616	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413647	2021-01-11 23:33:48
NCGR	SRX9830615	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413648	2021-01-11 23:33:48
NCGR	SRX9830614	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413649	2021-01-11 23:42:49
NCGR	SRX9830613	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413650	2021-01-11 23:36:49
NCGR	SRX9830612	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413651	2021-01-11 23:46:50
NCGR	SRX9830611	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413652	2021-01-11 23:33:48
NCGR	SRX9830610	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413653	2021-01-11 23:46:50
NCGR	SRX9830609	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413654	2021-01-11 23:22:43
NCGR	SRX9830608	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413655	2021-01-11 23:42:49
NCGR	SRX9830607	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413656	2021-01-11 23:40:13
NCGR	SRX9830606	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413657	2021-01-11 22:59:20
NCGR	SRX9830605	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413658	2021-01-11 23:15:02
Liaoning University Of Traditional Chinese Medicine	SRX9818099	SRP301157	Saussurea costus Genome sequencing and assembly	Saussurea costus	SRR13398997	2021-01-11 00:38:49
HudsonAlpha Genome Sequencing Center	SRX9811854	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392689	2021-01-09 17:32:13
HudsonAlpha Genome Sequencing Center	SRX9811853	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392690	2021-01-09 17:17:43
HudsonAlpha Genome Sequencing Center	SRX9811852	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392691	2021-01-09 17:18:16
HudsonAlpha Genome Sequencing Center	SRX9811851	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392692	2021-01-09 17:24:23
HudsonAlpha Genome Sequencing Center	SRX9811850	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392693	2021-01-09 17:25:37
HudsonAlpha Genome Sequencing Center	SRX9811849	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392694	2021-01-09 17:29:39
HudsonAlpha Genome Sequencing Center	SRX9811848	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392695	2021-01-09 17:19:52
HudsonAlpha Genome Sequencing Center	SRX9811847	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392696	2021-01-09 17:18:16
HudsonAlpha Genome Sequencing Center	SRX9811846	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392697	2021-01-11 14:16:54
HudsonAlpha Genome Sequencing Center	SRX9811845	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392698	2021-01-09 16:22:10
HudsonAlpha Genome Sequencing Center	SRX9811844	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392699	2021-01-09 16:22:10
HudsonAlpha Genome Sequencing Center	SRX9811843	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392700	2021-01-09 16:06:52
HudsonAlpha Genome Sequencing Center	SRX9811842	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392701	2021-01-09 16:22:10
HudsonAlpha Genome Sequencing Center	SRX9811841	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392702	2021-01-09 16:24:23
HudsonAlpha Genome Sequencing Center	SRX9811840	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392703	2021-01-09 16:22:10
HudsonAlpha Genome Sequencing Center	SRX9811839	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392704	2021-01-09 16:01:46
HudsonAlpha Genome Sequencing Center	SRX9811838	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392705	2021-01-09 15:00:50
HudsonAlpha Genome Sequencing Center	SRX9811837	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392706	2021-01-11 14:31:41
HudsonAlpha Genome Sequencing Center	SRX9811836	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392707	2021-01-09 15:29:13
HudsonAlpha Genome Sequencing Center	SRX9811835	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392708	2021-01-09 15:45:47
HudsonAlpha Genome Sequencing Center	SRX9811834	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392709	2021-01-09 15:24:51
HudsonAlpha Genome Sequencing Center	SRX9811833	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392710	2021-01-09 15:00:50
HudsonAlpha Genome Sequencing Center	SRX9811832	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392711	2021-01-09 13:37:49
HudsonAlpha Genome Sequencing Center	SRX9811831	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392712	2021-01-09 13:44:47
HudsonAlpha Genome Sequencing Center	SRX9811830	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392713	2021-01-11 14:00:55
HudsonAlpha Genome Sequencing Center	SRX9811829	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392714	2021-01-09 13:34:37
HudsonAlpha Genome Sequencing Center	SRX9811828	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392715	2021-01-09 13:49:38
HudsonAlpha Genome Sequencing Center	SRX9811827	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392716	2021-01-09 13:55:44
HudsonAlpha Genome Sequencing Center	SRX9811826	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392717	2021-01-09 14:11:41
HudsonAlpha Genome Sequencing Center	SRX9811825	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392718	2021-01-09 14:18:49
HudsonAlpha Genome Sequencing Center	SRX9811824	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13392719	2021-01-09 13:57:40
HudsonAlpha Genome Sequencing Center	SRX9808941	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389783	2021-01-11 14:20:04
HudsonAlpha Genome Sequencing Center	SRX9808940	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389784	2021-01-09 02:41:05
HudsonAlpha Genome Sequencing Center	SRX9808939	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389785	2021-01-09 02:50:41
HudsonAlpha Genome Sequencing Center	SRX9808938	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389786	2021-01-09 02:45:36
HudsonAlpha Genome Sequencing Center	SRX9808937	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389787	2021-01-09 03:31:47
HudsonAlpha Genome Sequencing Center	SRX9808936	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389788	2021-01-09 03:03:45
HudsonAlpha Genome Sequencing Center	SRX9808935	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389789	2021-01-09 03:16:41
HudsonAlpha Genome Sequencing Center	SRX9808934	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389790	2021-01-09 03:13:41
HudsonAlpha Genome Sequencing Center	SRX9808933	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389791	2021-01-09 03:03:45
HudsonAlpha Genome Sequencing Center	SRX9808932	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389792	2021-01-10 02:00:46
HudsonAlpha Genome Sequencing Center	SRX9808931	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389793	2021-01-10 01:47:39
HudsonAlpha Genome Sequencing Center	SRX9808930	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389794	2021-01-09 00:22:21
HudsonAlpha Genome Sequencing Center	SRX9808929	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389795	2021-01-09 00:23:40
HudsonAlpha Genome Sequencing Center	SRX9808928	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389796	2021-01-09 00:25:22
HudsonAlpha Genome Sequencing Center	SRX9808927	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389797	2021-01-09 00:20:54
HudsonAlpha Genome Sequencing Center	SRX9808926	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389798	2021-01-09 00:20:54
HudsonAlpha Genome Sequencing Center	SRX9808925	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389799	2021-01-09 00:28:42
HudsonAlpha Genome Sequencing Center	SRX9808924	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389800	2021-01-11 14:06:42
HudsonAlpha Genome Sequencing Center	SRX9808923	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389801	2021-01-09 01:17:40
HudsonAlpha Genome Sequencing Center	SRX9808922	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389802	2021-01-11 14:46:39
HudsonAlpha Genome Sequencing Center	SRX9808921	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389803	2021-01-09 00:51:13
HudsonAlpha Genome Sequencing Center	SRX9808733	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389547	2021-01-08 21:52:41
HudsonAlpha Genome Sequencing Center	SRX9808732	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389548	2021-01-08 22:00:46
HudsonAlpha Genome Sequencing Center	SRX9808731	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389549	2021-01-11 14:24:47
HudsonAlpha Genome Sequencing Center	SRX9808730	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389550	2021-01-08 22:01:17
HudsonAlpha Genome Sequencing Center	SRX9808729	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389551	2021-01-08 22:02:41
HudsonAlpha Genome Sequencing Center	SRX9808728	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389552	2021-01-08 22:17:41
HudsonAlpha Genome Sequencing Center	SRX9808727	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389553	2021-01-08 21:13:02
HudsonAlpha Genome Sequencing Center	SRX9808726	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389554	2021-01-08 21:09:52
HudsonAlpha Genome Sequencing Center	SRX9808725	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389555	2021-01-08 20:42:42
HudsonAlpha Genome Sequencing Center	SRX9808724	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389556	2021-01-08 20:43:18
HudsonAlpha Genome Sequencing Center	SRX9808723	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389557	2021-01-08 20:30:39
HudsonAlpha Genome Sequencing Center	SRX9808722	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389558	2021-01-08 20:42:42
HudsonAlpha Genome Sequencing Center	SRX9808721	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389559	2021-01-11 14:00:55
HudsonAlpha Genome Sequencing Center	SRX9808720	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389560	2021-01-08 20:57:01
HudsonAlpha Genome Sequencing Center	SRX9808719	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389561	2021-01-11 14:11:48
HudsonAlpha Genome Sequencing Center	SRX9808718	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389562	2021-01-08 19:39:39
HudsonAlpha Genome Sequencing Center	SRX9808717	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389563	2021-01-11 15:25:17
HudsonAlpha Genome Sequencing Center	SRX9808716	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389564	2021-01-08 19:36:25
HudsonAlpha Genome Sequencing Center	SRX9808715	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389565	2021-01-08 19:36:25
HudsonAlpha Genome Sequencing Center	SRX9808714	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389566	2021-01-08 19:42:13
HudsonAlpha Genome Sequencing Center	SRX9808713	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389567	2021-01-08 19:36:25
HudsonAlpha Genome Sequencing Center	SRX9808712	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389568	2021-01-08 19:41:48
HudsonAlpha Genome Sequencing Center	SRX9808711	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389569	2021-01-08 19:41:48
HudsonAlpha Genome Sequencing Center	SRX9808710	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389570	2021-01-08 19:36:25
HudsonAlpha Genome Sequencing Center	SRX9808709	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389571	2021-01-08 19:52:15
HudsonAlpha Genome Sequencing Center	SRX9808708	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389572	2021-01-08 19:41:48
HudsonAlpha Genome Sequencing Center	SRX9808707	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389573	2021-01-08 19:36:25
HudsonAlpha Genome Sequencing Center	SRX9808706	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389574	2021-01-08 19:36:25
HudsonAlpha Genome Sequencing Center	SRX9808705	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389575	2021-01-08 19:36:25
HudsonAlpha Genome Sequencing Center	SRX9808704	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13389576	2021-01-08 19:36:25
